Time	X	Y	Heading_Angle	Angular_Velocity	Speed
1627951156.55	0.0	0.0	0.0	0.0	0.0
1627951157.8	0.0	0.0	0.0	0.0	0.0
1627951158.81	0.0	0.0	0.0	0.0	0.0
1627951160.41	0.0	0.0	0.0	0.0	0.0
1627951162.41	0.0	0.0	0.0	0.0	0.0
1627951164.25	0.0	0.0	0.0	0.0	0.0
1627951164.27	-0.848004	-3.309796	-3.076808	-0.025986	0.004776
1627951164.29	-0.847992	-3.309799	-3.076985	0.006568	0.001019
1627951164.31	-0.847996	-3.309871	-3.076648	0.00323	0.001848
1627951164.33	-0.848031	-3.309877	-3.076649	0.010975	0.002029
1627951164.35	-0.848012	-3.30985	-3.076739	-0.008659	0.001654
1627951164.37	-0.848002	-3.309845	-3.076831	-0.007931	0.000537
1627951164.39	-0.847933	-3.309937	-3.07629	0.001434	0.006513
1627951164.41	-0.847901	-3.310072	-3.075498	0.079004	0.013887
1627951164.43	-0.847947	-3.310194	-3.074009	0.007921	0.004819
1627951164.45	-0.84793	-3.310081	-3.074474	0.00551	0.005771
1627951164.47	-0.848029	-3.310189	-3.074577	0.010762	0.009691
1627951164.49	-0.848097	-3.310294	-3.074141	0.043185	0.012405
1627951164.52	-0.848034	-3.310212	-3.074183	-0.008448	0.006016
1627951164.53	-0.84804	-3.310164	-3.0743	0.009591	0.002618
1627951164.55	-0.848056	-3.310199	-3.074363	-0.006276	0.003853
1627951164.57	-0.848074	-3.310279	-3.074188	0.004033	0.001092
1627951164.59	-0.84805	-3.310233	-3.074417	-0.014172	0.004421
1627951164.61	-0.848042	-3.310224	-3.07406	0.004502	0.001209
1627951164.63	-0.848044	-3.310245	-3.074184	0.027574	0.00492
1627951164.65	-0.848046	-3.310286	-3.074053	0.004776	0.003168
1627951164.67	-0.848058	-3.310302	-3.073988	0.001061	0.000133
1627951164.69	-0.848056	-3.310221	-3.073982	0.01165	0.004537
1627951164.71	-0.848062	-3.310205	-3.074109	0.024204	0.00129
1627951164.73	-0.848045	-3.310258	-3.073888	0.018538	0.002173
1627951164.75	-0.848089	-3.310323	-3.073924	0.007686	0.00401
1627951164.77	-0.848051	-3.310251	-3.074415	-0.015516	0.004972
1627951164.79	-0.848037	-3.310208	-3.074359	0.002578	0.00102
1627951164.81	-0.84806	-3.310239	-3.073852	0.013103	0.002636
1627951164.83	-0.848106	-3.310286	-3.074148	-0.025848	0.002408
1627951164.85	-0.848104	-3.310221	-3.074496	-0.013392	0.005348
1627951164.87	-0.848091	-3.310167	-3.074565	0.010214	0.002699
1627951164.89	-0.848157	-3.310217	-3.074663	-0.011199	0.00525
1627951164.91	-0.848295	-3.310221	-3.07502	-0.041041	0.00776
1627951164.93	-0.848412	-3.310085	-3.075616	-0.023689	0.009127
1627951164.95	-0.848514	-3.309959	-3.076612	-0.05377	0.009054
1627951164.97	-0.848778	-3.309938	-3.076748	0.001558	0.013866
1627951164.99	-0.849019	-3.309911	-3.077267	-0.025207	0.008931
1627951165.01	-0.849151	-3.309836	-3.07836	-0.047269	0.006927
1627951165.03	-0.849404	-3.309732	-3.078756	-0.006562	0.014252
1627951165.05	-0.849676	-3.309637	-3.079201	-0.007117	0.014347
1627951165.07	-0.849937	-3.309566	-3.079935	-0.037798	0.013527
1627951165.09	-0.850201	-3.309509	-3.080448	-0.032263	0.013934
1627951165.11	-0.85045	-3.309341	-3.081339	-0.043613	0.015316
1627951165.13	-0.85068	-3.309256	-3.081903	-0.005097	0.0129
1627951165.15	-0.850971	-3.309239	-3.083139	-0.062044	0.015474
1627951165.17	-0.851327	-3.309124	-3.083981	-0.03175	0.01867
1627951165.19	-0.85156	-3.308955	-3.084551	-0.035904	0.013471
1627951165.21	-0.851829	-3.308824	-3.085563	-0.0619	0.016923
1627951165.23	-0.852123	-3.308707	-3.086953	-0.070914	0.015826
1627951165.25	-0.852387	-3.308623	-3.087656	-0.03635	0.012419
1627951165.27	-0.852575	-3.308508	-3.088307	-0.035485	0.010234
1627951165.29	-0.852827	-3.308408	-3.089138	-0.032391	0.014626
1627951165.31	-0.853124	-3.308357	-3.089598	-0.012564	0.015171
1627951165.33	-0.853457	-3.308249	-3.090009	-0.01673	0.019309
1627951165.35	-0.853772	-3.308032	-3.091108	-0.053096	0.019785
1627951165.37	-0.854133	-3.30778	-3.092717	-0.095175	0.025439
1627951165.39	-0.85485	-3.307745	-3.093777	-0.106438	0.039445
1627951165.41	-0.855542	-3.307346	-3.095947	-0.127764	0.038562
1627951165.43	-0.856391	-3.30699	-3.099115	-0.123267	0.047225
1627951165.45	-0.857198	-3.306554	-3.101627	-0.182774	0.042927
1627951165.47	-0.858067	-3.306115	-3.105086	-0.182638	0.05025
1627951165.49	-0.858996	-3.305784	-3.108656	-0.174078	0.049338
1627951165.51	-0.86003	-3.305346	-3.111611	-0.139616	0.057577
1627951165.53	-0.861163	-3.304796	-3.115069	-0.189392	0.061895
1627951165.55	-0.862348	-3.30432	-3.118227	-0.150833	0.063041
1627951165.57	-0.863631	-3.303859	-3.12154	-0.169837	0.067157
1627951165.59	-0.864876	-3.303268	-3.126164	-0.269269	0.066524
1627951165.61	-0.866292	-3.302492	-3.131511	-0.313435	0.083796
1627951165.63	-0.867819	-3.301935	-3.13448	-0.19085	0.07672
1627951165.65	-0.869336	-3.301278	-3.139827	-0.207421	0.085408
1627951165.67	-0.870972	-3.30063	3.139443	0.279087	0.089414
1627951165.69	-0.872652	-3.299891	3.13514	-0.167849	0.090829
1627951165.71	-0.874423	-3.299154	3.129422	-0.271443	0.099621
1627951165.73	-0.876275	-3.298481	3.12493	-0.270246	0.094728
1627951165.75	-0.87807	-3.297803	3.120983	-0.149327	0.09554
1627951165.77	-0.880027	-3.29721	3.118393	-0.078807	0.107909
1627951165.79	-0.882133	-3.29632	3.11294	-0.242717	0.116475
1627951165.81	-0.884323	-3.295692	3.109138	-0.212493	0.111395
1627951165.83	-0.886429	-3.295056	3.104006	-0.3031	0.10857
1627951165.85	-0.888819	-3.294409	3.100012	-0.27502	0.121965
1627951165.87	-0.89137	-3.293667	3.095929	-0.197568	0.131913
1627951165.89	-0.893834	-3.2928	3.092377	-0.289743	0.129126
1627951165.91	-0.896447	-3.292282	3.089173	-0.227941	0.134817
1627951165.93	-0.899305	-3.291667	3.085381	-0.261395	0.150359
1627951165.95	-0.902161	-3.291138	3.083852	-0.055661	0.14681
1627951165.97	-0.905114	-3.290727	3.082625	-0.042232	0.153336
1627951165.99	-0.908336	-3.290613	3.082874	-0.006818	0.15711
1627951166.01	-0.91151	-3.290333	3.082833	-0.061922	0.159079
1627951166.03	-0.914756	-3.289895	3.082353	-0.004865	0.169382
1627951166.05	-0.91795	-3.289452	3.081236	-0.076227	0.156358
1627951166.07	-0.921213	-3.289326	3.080516	-0.024041	0.165059
1627951166.09	-0.924765	-3.289165	3.082386	0.109396	0.184154
1627951166.11	-0.928165	-3.28887	3.083282	0.024062	0.169967
1627951166.13	-0.931682	-3.288482	3.082758	0.071712	0.177254
1627951166.15	-0.9352	-3.288226	3.083112	-0.057663	0.170972
1627951166.17	-0.938902	-3.288088	3.08405	0.059958	0.185649
1627951166.19	-0.942918	-3.287841	3.08674	0.19019	0.201957
1627951166.21	-0.946778	-3.287675	3.08709	-0.037742	0.191854
1627951166.23	-0.950884	-3.287386	3.086476	0.071334	0.211817
1627951166.25	-0.955051	-3.286802	3.087525	-0.04297	0.210561
1627951166.27	-0.959224	-3.28643	3.086214	0.055802	0.205687
1627951166.29	-0.963397	-3.285908	3.085694	-0.041352	0.20773
1627951166.31	-0.967911	-3.285661	3.086052	0.077183	0.233554
1627951166.33	-0.972326	-3.285306	3.086773	-0.041411	0.220923
1627951166.35	-0.976834	-3.284855	3.086691	0.105677	0.229264
1627951166.37	-0.981405	-3.284559	3.087618	-0.136476	0.222064
1627951166.39	-0.985882	-3.284221	3.088166	0.140185	0.217102
1627951166.41	-0.990296	-3.28365	3.084781	-0.074369	0.226452
1627951166.43	-0.99507	-3.283514	3.087089	0.15045	0.234011
1627951166.45	-0.999713	-3.283121	3.086492	-0.108599	0.23352
1627951166.47	-1.004166	-3.282643	3.086314	-0.030167	0.219685
1627951166.49	-1.008856	-3.282445	3.089245	0.150343	0.235999
1627951166.51	-1.013601	-3.282608	3.091412	0.136055	0.236861
1627951166.53	-1.018279	-3.282287	3.092618	0.115453	0.236779
1627951166.55	-1.02285	-3.282094	3.094548	0.109474	0.235752
1627951166.57	-1.027794	-3.282431	3.095955	0.11924	0.246221
1627951166.59	-1.032611	-3.28241	3.097392	0.097719	0.242129
1627951166.61	-1.037482	-3.282116	3.101224	0.050598	0.247906
1627951166.63	-1.042477	-3.282072	3.105289	0.263301	0.256016
1627951166.65	-1.047536	-3.281924	3.10672	0.015398	0.247767
1627951166.67	-1.052806	-3.282015	3.110517	0.259544	0.262087
1627951166.69	-1.058125	-3.281882	3.1106	0.054936	0.270177
1627951166.71	-1.063523	-3.281638	3.111754	0.025066	0.274348
1627951166.73	-1.069046	-3.28153	3.114461	0.247192	0.275125
1627951166.75	-1.074568	-3.28126	3.114424	-0.094683	0.27972
1627951166.77	-1.080111	-3.281226	3.117186	0.082892	0.278359
1627951166.79	-1.080111	-3.281226	3.117186	0.082892	0.278359
1627951166.81	-1.091431	-3.281173	3.12019	0.001678	0.283199
1627951166.83	-1.096938	-3.280887	3.120412	-0.11869	0.276701
1627951166.85	-1.102654	-3.280975	3.123597	0.267485	0.290412
1627951166.87	-1.108319	-3.280884	3.125137	0.145824	0.286733
1627951166.89	-1.113925	-3.280662	3.125841	-0.012875	0.279848
1627951166.91	-1.119622	-3.281187	3.130859	0.341203	0.287735
1627951166.93	-1.125456	-3.281236	3.132864	0.098698	0.290701
1627951166.95	-1.131159	-3.281039	3.133642	-0.070261	0.282715
1627951166.97	-1.137114	-3.281374	3.140099	0.485387	0.301401
1627951166.99	-1.143178	-3.281581	3.140973	-0.018638	0.296104
1627951167.01	-1.149205	-3.281614	-3.13981	0.132378	0.306635
1627951167.03	-1.155334	-3.281589	-3.138508	-0.027934	0.313022
1627951167.05	-1.161595	-3.281452	-3.137675	0.078819	0.310244
