Time	Desired_X	Desired_Y	Desired_V_head	Desired_V_lat	Desired_Theta	Desired_Theta_dot
1627951136.47	0.0	0.0	0.0	0.0	0.0	0.0
1627951137.1	0.0	0.0	0.0	0.0	0.0	0.0
1627951137.76	0.0	0.0	0.0	0.0	0.0	0.0
1627951138.42	0.0	0.0	0.0	0.0	0.0	0.0
1627951139.03	0.0	0.0	0.0	0.0	0.0	0.0
1627951139.79	0.0	0.0	0.0	0.0	0.0	0.0
1627951142.78	0.0	0.0	0.0	0.0	0.0	0.0
1627951146.74	0.0	0.0	0.0	0.0	0.0	0.0
1627951150.09	0.0	0.0	0.0	0.0	0.0	0.0
1627951151.99	0.0	0.0	0.0	0.0	0.0	0.0
1627951152.99	0.0	0.0	0.0	0.0	0.0	0.0
1627951154.5	0.0	0.0	0.0	0.0	0.0	0.0
1627951155.21	0.0	0.0	0.0	0.0	0.0	0.0
1627951156.25	0.0	0.0	0.0	0.0	0.0	0.0
1627951157.31	0.0	0.0	0.0	0.0	0.0	0.0
1627951158.36	0.0	0.0	0.0	0.0	0.0	0.0
1627951159.5	0.0	0.0	0.0	0.0	0.0	0.0
1627951161.81	0.0	0.0	0.0	0.0	0.0	0.0
1627951163.51	0.0	0.0	0.0	0.0	0.0	0.0
1627951164.26	0.0	0.0	0.0	0.0	0.0	0.0
1627951164.28	-0.848004	-3.296	0.0551801	0.0	3.14159265359	-89638.0587301
1627951164.3	-0.847992	-3.296	0.0520285	0.0	3.14159265359	0.0
1627951164.32	-0.847996	-3.296	0.0519767	0.0	3.14159265359	0.0
1627951164.34	-0.848031	-3.296	0.0515884	0.0	3.14159265359	0.0
1627951164.36	-0.848012	-3.296	0.0528056	0.0	3.14159265359	0.0
1627951164.38	-0.848002	-3.296	0.0507	0.0	3.14159265359	0.0
1627951164.4	-0.847933	-3.296	0.0562199	0.0	3.14159265359	0.0
1627951164.42	-0.847901	-3.296	0.0628252	0.0	3.14159265359	0.0
1627951164.44	-0.847947	-3.296	0.0550721	0.0	3.14159265359	0.0
1627951164.46	-0.84793	-3.296	0.0560319	0.0	3.14159265359	0.0
1627951164.48	-0.848029	-3.296	0.0595089	0.0	3.14159265359	0.0
1627951164.5	-0.848097	-3.296	0.059656	0.0	3.14159265359	0.0
1627951164.53	-0.848034	-3.296	0.0560689	0.0	3.14159265359	0.0
1627951164.54	-0.84804	-3.296	0.0524908	0.0	3.14159265359	0.0
1627951164.56	-0.848056	-3.296	0.0541617	0.0	3.14159265359	0.0
1627951164.58	-0.848074	-3.296	0.0510491	0.0	3.14159265359	0.0
1627951164.6	-0.84805	-3.296	0.0523735	0.0	3.14159265359	0.0
1627951164.62	-0.848042	-3.296	0.0517994	0.0	3.14159265359	0.0
1627951164.64	-0.848044	-3.296	0.054857	0.0	3.14159265359	0.0
1627951164.66	-0.848046	-3.296	0.0531021	0.0	3.14159265359	0.0
1627951164.68	-0.848058	-3.296	0.0506807	0.0	3.14159265359	0.0
1627951164.7	-0.848056	-3.296	0.0543188	0.0	3.14159265359	0.0
1627951164.72	-0.848062	-3.296	0.0519787	0.0	3.14159265359	0.0
1627951164.74	-0.848045	-3.296	0.0518834	0.0	3.14159265359	0.0
1627951164.76	-0.848089	-3.296	0.0546668	0.0	3.14159265359	0.0
1627951164.78	-0.848051	-3.296	0.055131	0.0	3.14159265359	0.0
1627951164.8	-0.848037	-3.296	0.0521643	0.0	3.14159265359	0.0
1627951164.82	-0.84806	-3.296	0.052383	0.0	3.14159265359	0.0
1627951164.84	-0.848106	-3.296	0.0531211	0.0	3.14159265359	0.0
1627951164.86	-0.848104	-3.296	0.0555436	0.0	3.14159265359	0.0
1627951164.88	-0.848091	-3.296	0.0526107	0.0	3.14159265359	0.0
1627951164.9	-0.848157	-3.296	0.0500148	0.0	3.14159265359	0.0
1627951164.92	-0.848295	-3.296	0.058051	0.0	3.14159265359	0.0
1627951164.94	-0.848412	-3.296	0.0580412	0.0	3.14159265359	0.0
1627951164.96	-0.848514	-3.296	0.0566047	0.0	3.14159265359	0.0
1627951164.98	-0.848778	-3.296	0.0639025	0.0	3.14159265359	0.0
1627951165.0	-0.849019	-3.296	0.0582343	0.0	3.14159265359	0.0
1627951165.02	-0.849151	-3.296	0.0539712	0.0	3.14159265359	0.0
1627951165.04	-0.849404	-3.296	0.062893	0.0	3.14159265359	0.0
1627951165.06	-0.849676	-3.296	0.0642779	0.0	3.14159265359	0.0
1627951165.08	-0.849937	-3.296	0.0619315	0.0	3.14159265359	0.0
